profile,days_in_a_row,use_days,finish_late,start_early,correct,mean_time,min_time,max_time,attemps
utiliterian,3,3,2,3,0.8117565417662262,62.669,26.1,98.9,189
engaged,4,12,5,3,0.5048064599977806,24.951,19,124,1539
engaged,6,11,5,4,0.9551161557901651,10.486,26.8,114.5,1388
utiliterian,3,2,1,4,0.8175756293814629,53.304,28.5,66.2,245
disengaged,1,2,11,17,0.33559126816689966,41.831,39,98,101
utiliterian,4,3,3,3,0.6837096420815214,16.347,23.9,57.4,193
engaged,6,7,5,2,0.8626995726954192,22.334,17.3,93.3,984
engaged,4,14,11,3,0.6266638740198687,23.1,26.5,177.8,831
engaged,6,13,9,5,0.67553090385627,28.508,22.9,136.1,951
utiliterian,1,2,3,2,0.937784209777601,23.184,11.6,171.7,244
disengaged,0,1,8,4,0.2757362863048911,37.311,8.5,77.2,19
utiliterian,3,4,2,1,0.5285438570892438,27.562,24.9,40.9,42
engaged,5,16,2,2,0.8829677434405312,23.917,25.5,113.2,713
utiliterian,2,2,2,1,0.4612325311638415,36.483,25.9,59.8,307
utiliterian,2,1,4,2,0.9134628015337511,52.195,13.2,115.5,348
engaged,5,12,7,1,0.5770497254561633,21.687,18.7,138.3,885
disengaged,1,2,17,1,0.3713322411291301,21.854,27.2,15.1,105
disengaged,0,1,15,12,0.26331208515912297,39.586,45.4,58.7,73
utiliterian,4,2,2,4,0.6442209070548415,11.573,24.9,51.6,163
engaged,5,14,8,2,0.7708959580631927,14.712,17.6,130.3,1435
disengaged,1,3,15,10,0.25860120728611946,33.207,37.7,1.6,74
engaged,8,12,5,3,0.8204483177978545,48.431,22.3,146.3,819
engaged,5,13,12,3,0.8043144028633833,1.095,23.3,134.2,1295
utiliterian,3,1,1,3,0.9194348190678283,40.916,18.3,92.8,322
utiliterian,2,3,3,3,0.509996677795425,7.803,19.6,54,239
disengaged,1,2,17,11,0.3444647961296141,63.681,43.4,34.8,115
engaged,4,8,4,4,0.9131790939718485,14.409,23.8,138.7,1054
engaged,8,8,8,5,0.5987550176214427,38.064,20.7,118.9,761
engaged,2,13,12,5,0.7324202987365425,50.168,23.5,136.3,2369
disengaged,1,2,17,12,0.498910116776824,56.557,46.6,28.8,110
disengaged,1,4,17,13,0.5773548105731607,38.099,31.1,64.3,66
utiliterian,3,1,2,4,0.685343121108599,26.587,27.5,73.6,118
disengaged,1,2,19,15,0.4311424331739545,55.245,31.7,83.5,164
utiliterian,2,3,3,3,0.6188918541185557,33.945,24.4,66.5,189
utiliterian,2,1,2,3,0.7109151216456666,4.261,29.3,76.1,156
engaged,5,9,13,4,0.8508643668610603,28.212,23.1,133.4,914
