id,label
1,"MILGRAM S"
2,"ZALAZNICK S"
3,"TRAVERS J"
4,"HART JW"
5,"SOFFER RS"
6,"KORTE C"
7,"WHITE HC"
8,"JACOBSON D"
9,"LEVINE JH"
10,"VIANNA NJ"
11,"HUNTER JE"
12,"GRIFFITH BC"
13,"MULLINS NC"
14,"GRANOVETTER MS"
15,"WHITE HC"
16,"CRAVEN P"
17,"KAPLAN J"
18,"VIANNA NJ"
19,"KILLWORTH PD"
20,"KORTE C"
21,"HUNTER JE"
22,"SEEMAN M"
23,"BOCHNER S"
24,"BOORMAN SA"
25,"ERICKSON BH"
26,"LUNDBERG CC"
27,"FIENBERG SE"
28,"KAHLER HD"
29,"SHULMAN N"
30,"WHITE HC"
31,"BOORMAN SA"
32,"GUIOT JM"
33,"BOCHNER S"
34,"BOCHNER S"
35,"BURT RS"
36,"DORKEN H"
37,"STONEHAM AKM"
38,"ANDREWS HF"
39,"FEIDELMAN L"
40,"CARTWRIGHT D"
41,"GUPTA UD"
42,"HORWITZ A"
43,"BURSTEIN P"
44,"CLARK FE"
45,"BURSTEIN P"
46,"ERICKSON BH"
47,"SOLOMON RC"
48,"STEIN P"
49,"STEIN P"
50,"BENNIS W"
51,"SMITH CJ"
52,"ARABIE P"
53,"HUNTER JE"
54,"DESOLAPOOL I"
55,"KILLWORTH PD"
56,"LIN N"
57,"GREENWALD P"
58,"FINE GA"
59,"COOK BP"
60,"GARFIELD E"
61,"BOCHNER S"
62,"[Anon] ."
63,"BECQUARTLECLERCQ J"
64,"KILLWORTH PD"
65,"BERNARD HR"
66,"DENMARK FL"
67,"BURT RS"
68,"LAFAYE C"
69,"SMITH TR"
70,"ALLERHAND J"
71,"RUSH R"
72,"NIEMOLLER K"
73,"HAMMER M"
74,"HAMMER M"
75,"FELD SL"
76,"[Anon] ."
77,"DARLEY JM"
78,"LESSEM D"
79,"[Anon] ."
80,"SZUCS JP"
81,"GOWEN B"
82,"BERNARD HR"
83,"MCPHERSON JM"
84,"HARTMANN H"
85,"BIRKEL RC"
86,"FAVIER J"
87,"MATHIEU R"
88,"SHIN EH"
89,"STAIGER RC"
90,"WEIMANN G"
91,"SOREK P"
92,"KILLWORTH PD"
93,"ZIEGLER R"
94,"WEIMANN G"
95,"SCHWARTZ JE"
96,"MORRISON B"
97,"BUCHEGGER I"
98,"MILNE WG"
99,"BANKS JR"
100,"AMRHEIN CG"
101,"IMHOF R"
102,"MANRIQUE JA"
103,"COX DW"
104,"ROSENBLATT R"
105,"TOWERS R"
106,"ROSENTHAL M"
107,"VERRIER J"
108,"KOCHEN M"
109,"KLOVDAHL AS"
110,"BEKER J"
111,"VARVARO A"
112,"LEVANDER M"
113,"MELVILLE J"
114,"MARSCHALL LA"
115,"ZUCKER LG"
116,"PRESTEMON JP"
117,"WEGENER B"
118,"KLAWANS S"
119,"ZELEVANSKY P"
120,"YOUNG P"
121,"HO E"
122,"FULLER WS"
123,"MIDDLETON S"
124,"BERNARD HR"
125,"ABRAMSON PR"
126,"SOKOLOV R"
127,"LAMANNA MA"
128,"LEADER Z"
129,"WOLF W"
130,"HINES C"
131,"BLAZETEMPLE D"
132,"ALTBACH PG"
133,"MEWS S"
134,"[Anon] ."
135,"ZUCKERMAN B"
136,"STEVENSON R"
137,"MARSDEN PV"
138,"JOHNSON K"
139,"HAGEN C"
140,"BORENSTEIN NS"
141,"HOLMES FM"
142,"SOMMER R"
143,"ALLEN BP"
144,"BERNARD HR"
145,"KILLWORTH PD"
146,"GHOSH A"
147,"SIMON HA"
148,"GILLY MC"
149,"CHATMAN EA"
150,"RITTENHOUSE RC"
151,"BOLZ DM"
152,"LISK I"
153,"BLASS T"
154,"MCPHERSON JM"
155,"THOMAS C"
156,"KERORGUEN YD"
157,"BORDLEY RF"
158,"TRINCA CE"
159,"SCHWARTZ MF"
160,"[Anon] ."
161,"FRENZEN J"
162,"WATSON S"
163,"WHITTALL A"
164,"DUNN CW"
165,"FOX K"
166,"STEVENSON WB"
167,"GALASKIEWICZ J"
168,"KUENZ J"
169,"PETERS B"
170,"PEARSON RH"
171,"ALLISON CB"
